Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,17:07:39.512663,17:07:41.285465,1,-1.0
1,17:07:39.512663,17:07:41.735413,1,-1.0
1,17:07:39.512663,17:07:42.008186,1,-1.0
1,17:07:39.512663,17:07:42.274026,1,-1.0
1,17:07:39.512663,17:07:42.490815,1,-1.0
1,17:07:39.512663,17:07:42.706404,1,-1.0
1,17:07:39.512663,17:07:42.950006,1,-1.0
1,17:07:39.512663,17:07:43.174573,1,-1.0
1,17:07:39.512663,17:07:43.380911,1,-1.0
1,17:07:39.512663,17:07:43.584544,1,-1.0
1,17:07:39.512663,17:07:43.850675,1,-1.0
1,17:07:39.512663,17:07:44.086899,1,-1.0
1,17:07:39.512663,17:07:44.304460,1,-1.0
1,17:07:39.512663,17:07:44.507717,1,-1.0
1,17:07:39.512663,17:07:44.711567,1,-1.0
1,17:07:39.512663,17:07:44.894487,1,-1.0
1,17:07:39.512663,17:07:45.100328,1,-1.0
1,17:07:39.512663,17:07:45.283219,1,-1.0
1,17:07:39.512663,17:07:45.448246,1,-1.0
1,17:07:39.512663,17:07:45.642200,1,-1.0
1,17:07:39.512663,17:07:45.808818,1,-1.0
1,17:07:39.512663,17:07:45.984101,1,-1.0
1,17:07:39.512663,17:07:46.121670,1,-1.0
1,17:07:39.512663,17:07:46.284638,1,-1.0
1,17:07:39.512663,17:07:46.446787,1,-1.0
1,17:07:39.512663,17:07:46.620790,1,-1.0
1,17:07:39.512663,17:07:46.804786,1,-1.0
1,17:07:39.512663,17:07:46.987042,1,-1.0
1,17:07:39.512663,17:07:47.161154,1,-1.0
1,17:07:39.512663,17:07:47.363991,1,-1.0
1,17:07:39.512663,17:07:47.622019,1,-1.0
1,17:07:39.512663,17:07:47.898434,-1,-1.0
1,17:07:39.512663,17:07:48.224869,-1,-1.0
1,17:07:39.512663,17:07:48.605727,-1,-1.0
1,17:07:39.512663,17:07:48.984417,-1,-1.0
1,17:07:39.512663,17:07:49.474362,-1,-1.0
1,17:07:39.512663,17:07:49.897668,-1,-1.0
1,17:07:39.512663,17:07:50.731106,-1,-1.0
1,17:07:39.512663,17:07:51.119306,-1,-1.0
1,17:07:39.512663,17:07:51.639709,-1,-1.0
1,17:07:39.512663,17:07:52.510691,-1,-1.0
1,17:07:39.512663,17:07:53.151253,-1,-1.0
1,17:07:39.512663,17:07:53.708811,1,-1.0
1,17:07:39.512663,17:07:54.094309,1,-1.0
1,17:07:39.512663,17:07:54.575967,1,-1.0
1,17:07:39.512663,17:07:54.954767,1,-1.0
1,17:07:39.512663,17:07:55.329834,1,-1.0
1,17:07:39.512663,17:07:55.710067,1,-1.0
1,17:07:39.512663,17:07:56.043633,1,-1.0
1,17:07:39.512663,17:07:56.425050,1,-1.0
1,17:07:39.512663,17:07:56.812030,1,-1.0
1,17:07:39.512663,17:07:57.187427,1,-1.0
1,17:07:39.512663,17:07:57.565847,1,-1.0
1,17:07:39.512663,17:07:57.951770,1,-1.0
1,17:07:39.512663,17:07:58.337505,1,-1.0
1,17:07:39.512663,17:07:58.743190,1,-1.0
1,17:07:39.512663,17:07:59.189920,1,-1.0
1,17:07:39.512663,17:07:59.645984,1,-1.0
1,17:07:39.512663,17:08:00.134469,1,-1.0
1,17:07:39.512663,17:08:00.715435,-1,-1.0
1,17:07:39.512663,17:08:01.160437,-1,-1.0
1,17:07:39.512663,17:08:01.565233,-1,-1.0
1,17:07:39.512663,17:08:01.989751,-1,-1.0
1,17:07:39.512663,17:08:02.563240,1,-1.0
1,17:07:39.512663,17:08:02.846239,1,-1.0
1,17:07:39.512663,17:08:03.167791,1,-1.0
1,17:07:39.512663,17:08:03.454797,1,-1.0
1,17:07:39.512663,17:08:03.841892,1,-1.0
1,17:07:39.512663,17:08:04.093870,1,-1.0
1,17:07:39.512663,17:08:04.434634,1,-1.0
1,17:07:39.512663,17:08:04.761914,1,-1.0
1,17:07:39.512663,17:08:05.087724,1,-1.0
1,17:07:39.512663,17:08:05.462006,1,-1.0
1,17:07:39.512663,17:08:05.715749,1,-1.0
1,17:07:39.512663,17:08:06.097539,1,-1.0
1,17:07:39.512663,17:08:06.402616,1,-1.0
1,17:07:39.512663,17:08:06.711519,1,-1.0
1,17:07:39.512663,17:08:07.086562,1,-1.0
1,17:07:39.512663,17:08:07.380379,1,-1.0
1,17:07:39.512663,17:08:07.794061,1,-1.0
1,17:07:39.512663,17:08:08.105356,1,-1.0
1,17:07:39.512663,17:08:08.430004,1,-1.0
1,17:07:39.512663,17:08:08.922008,1,-1.0
1,17:07:39.512663,17:08:09.302628,1,-1.0
1,17:07:39.512663,17:08:09.801017,-1,-1.0
1,17:07:39.512663,17:08:10.727525,-1,-1.0
1,17:07:39.512663,17:08:11.226823,1,-1.0
1,17:07:39.512663,17:08:11.610186,1,-1.0
1,17:07:39.512663,17:08:11.987181,1,-1.0
1,17:07:39.512663,17:08:12.310474,1,-1.0
1,17:07:39.512663,17:08:12.616863,1,-1.0
1,17:07:39.512663,17:08:12.943604,1,-1.0
1,17:07:39.512663,17:08:13.320268,1,-1.0
1,17:07:39.512663,17:08:13.607310,1,-1.0
1,17:07:39.512663,17:08:13.933081,1,-1.0
1,17:07:39.512663,17:08:14.309026,1,-1.0
1,17:07:39.512663,17:08:14.581839,1,-1.0
1,17:07:39.512663,17:08:14.907090,1,-1.0
1,17:07:39.512663,17:08:15.293222,1,-1.0
1,17:07:39.512663,17:08:15.570013,1,-1.0
1,17:07:39.512663,17:08:15.887743,1,-1.0
1,17:07:39.512663,17:08:16.190322,1,-1.0
1,17:07:39.512663,17:08:16.468242,1,-1.0
1,17:07:39.512663,17:08:16.785211,1,-1.0
1,17:07:39.512663,17:08:17.107875,1,-1.0
1,17:07:39.512663,17:08:17.386129,1,-1.0
1,17:07:39.512663,17:08:17.661124,1,-1.0
1,17:07:39.512663,17:08:17.995515,1,-1.0
1,17:07:39.512663,17:08:18.264286,1,-1.0
1,17:07:39.512663,17:08:18.559335,1,-1.0
1,17:07:39.512663,17:08:18.836207,1,-1.0
1,17:07:39.512663,17:08:19.110242,1,-1.0
1,17:07:39.512663,17:08:19.368387,1,-1.0
1,17:07:39.512663,17:08:19.649675,1,-1.0
1,17:07:39.512663,17:08:19.904645,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,17:08:20.584839,17:08:22.749133,-1,-1.0
2,17:08:20.584839,17:08:23.374588,-1,-1.0
2,17:08:20.584839,17:08:23.883561,-1,-1.0
2,17:08:20.584839,17:08:24.681159,1,-1.0
2,17:08:20.584839,17:08:25.010844,1,-1.0
2,17:08:20.584839,17:08:25.297675,1,-1.0
2,17:08:20.584839,17:08:25.628351,1,-1.0
2,17:08:20.584839,17:08:26.011306,1,-1.0
2,17:08:20.584839,17:08:26.391064,1,-1.0
2,17:08:20.584839,17:08:26.691783,1,-1.0
2,17:08:20.584839,17:08:27.072589,1,-1.0
2,17:08:20.584839,17:08:27.510604,1,-1.0
2,17:08:20.584839,17:08:27.892103,1,-1.0
2,17:08:20.584839,17:08:28.270262,1,-1.0
2,17:08:20.584839,17:08:28.645242,1,-1.0
2,17:08:20.584839,17:08:28.983694,1,-1.0
2,17:08:20.584839,17:08:29.430502,1,-1.0
2,17:08:20.584839,17:08:29.787605,1,-1.0
2,17:08:20.584839,17:08:30.165425,1,-1.0
2,17:08:20.584839,17:08:30.545789,1,-1.0
2,17:08:20.584839,17:08:30.927226,1,-1.0
2,17:08:20.584839,17:08:31.303391,1,-1.0
2,17:08:20.584839,17:08:31.923325,-1,-1.0
2,17:08:20.584839,17:08:32.493007,1,-1.0
2,17:08:20.584839,17:08:32.872312,1,-1.0
2,17:08:20.584839,17:08:33.197891,1,-1.0
2,17:08:20.584839,17:08:33.507851,1,-1.0
2,17:08:20.584839,17:08:33.846872,1,-1.0
2,17:08:20.584839,17:08:34.134015,1,-1.0
2,17:08:20.584839,17:08:34.453964,1,-1.0
2,17:08:20.584839,17:08:34.690787,1,-1.0
2,17:08:20.584839,17:08:34.946515,1,-1.0
2,17:08:20.584839,17:08:35.210322,1,-1.0
2,17:08:20.584839,17:08:36.058016,1,-1.0
2,17:08:20.584839,17:08:36.442227,1,-1.0
2,17:08:20.584839,17:08:36.828122,1,-1.0
2,17:08:20.584839,17:08:37.062854,1,-1.0
2,17:08:20.584839,17:08:37.443983,1,-1.0
2,17:08:20.584839,17:08:37.781648,1,-1.0
2,17:08:20.584839,17:08:38.102223,1,-1.0
2,17:08:20.584839,17:08:38.422319,1,-1.0
2,17:08:20.584839,17:08:38.708187,1,-1.0
2,17:08:20.584839,17:08:39.014590,1,-1.0
2,17:08:20.584839,17:08:39.325268,1,-1.0
2,17:08:20.584839,17:08:39.599262,1,-1.0
2,17:08:20.584839,17:08:39.891729,1,-1.0
2,17:08:20.584839,17:08:40.180752,1,-1.0
2,17:08:20.584839,17:08:40.477448,1,-1.0
2,17:08:20.584839,17:08:40.783579,1,-1.0
2,17:08:20.584839,17:08:41.078533,1,-1.0
2,17:08:20.584839,17:08:41.564265,1,-1.0
2,17:08:20.584839,17:08:42.021982,-1,-1.0
2,17:08:20.584839,17:08:42.515955,1,-1.0
2,17:08:20.584839,17:08:42.818415,1,-1.0
2,17:08:20.584839,17:08:43.095285,1,-1.0
2,17:08:20.584839,17:08:43.371033,1,-1.0
2,17:08:20.584839,17:08:43.657449,1,-1.0
2,17:08:20.584839,17:08:43.921317,1,-1.0
2,17:08:20.584839,17:08:44.199410,1,-1.0
2,17:08:20.584839,17:08:44.476805,1,-1.0
2,17:08:20.584839,17:08:44.752826,1,-1.0
2,17:08:20.584839,17:08:45.039719,1,-1.0
2,17:08:20.584839,17:08:45.319284,1,-1.0
2,17:08:20.584839,17:08:45.575208,1,-1.0
2,17:08:20.584839,17:08:45.821636,1,-1.0
2,17:08:20.584839,17:08:46.084307,1,-1.0
2,17:08:20.584839,17:08:46.538467,1,-1.0
2,17:08:20.584839,17:08:46.878755,1,-1.0
2,17:08:20.584839,17:08:47.253357,1,-1.0
2,17:08:20.584839,17:08:47.527807,1,-1.0
2,17:08:20.584839,17:08:47.814260,1,-1.0
2,17:08:20.584839,17:08:48.111791,1,-1.0
2,17:08:20.584839,17:08:48.411215,1,-1.0
2,17:08:20.584839,17:08:48.730810,1,-1.0
2,17:08:20.584839,17:08:49.005960,1,-1.0
2,17:08:20.584839,17:08:49.340844,1,-1.0
2,17:08:20.584839,17:08:49.623160,1,-1.0
2,17:08:20.584839,17:08:49.932793,1,-1.0
2,17:08:20.584839,17:08:50.230263,1,-1.0
2,17:08:20.584839,17:08:50.526985,1,-1.0
2,17:08:20.584839,17:08:50.802346,1,-1.0
2,17:08:20.584839,17:08:51.142218,1,-1.0
2,17:08:20.584839,17:08:51.438199,1,-1.0
2,17:08:20.584839,17:08:51.726791,1,-1.0
2,17:08:20.584839,17:08:52.064259,1,-1.0
2,17:08:20.584839,17:08:52.449959,1,-1.0
